address,tokenId,dateCreated
e13d4abee4b304b67c52a56871141cad1b833aa7,1097,2018-12-04 19:51:41.267408+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1106,2018-12-04 19:51:46.144708+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1128,2018-12-04 19:51:52.096481+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1116,2018-12-04 19:53:00.475242+01
e13d4abee4b304b67c52a56871141cad1b833aa7,1122,2018-12-04 19:53:01.79006+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1053,2018-12-04 19:53:10.88868+01
335e19b3f5dcfa2e398ee7d5ff430a1f8ccc88b2,1117,2018-12-04 19:53:16.612229+01
e13d4abee4b304b67c52a56871141cad1b833aa7,827,2018-12-04 19:53:43.826356+01
e13d4abee4b304b67c52a56871141cad1b833aa7,826,2018-12-04 19:53:50.144658+01
e13d4abee4b304b67c52a56871141cad1b833aa7,825,2018-12-04 19:53:54.453435+01
e13d4abee4b304b67c52a56871141cad1b833aa7,824,2018-12-04 19:53:58.262154+01
e13d4abee4b304b67c52a56871141cad1b833aa7,823,2018-12-04 19:54:02.835026+01
337101def3eeb6f06e071efe02216274507937bb,1132,2018-12-04 20:08:17.666116+01
337101def3eeb6f06e071efe02216274507937bb,1012,2018-12-04 20:08:28.215915+01
337101def3eeb6f06e071efe02216274507937bb,1131,2018-12-04 20:08:35.445408+01
337101def3eeb6f06e071efe02216274507937bb,1123,2018-12-04 20:09:11.619656+01
337101def3eeb6f06e071efe02216274507937bb,1116,2018-12-04 20:09:22.426293+01
337101def3eeb6f06e071efe02216274507937bb,1119,2018-12-04 20:10:14.256181+01
337101def3eeb6f06e071efe02216274507937bb,1122,2018-12-04 20:19:15.314797+01
337101def3eeb6f06e071efe02216274507937bb,1130,2018-12-04 20:19:22.239779+01
337101def3eeb6f06e071efe02216274507937bb,1099,2018-12-04 20:21:02.940324+01
77350e1152efd5f2d807a6124015c629a907155e,1116,2018-12-04 20:22:07.487791+01
